neighbourhood_name,cluster,cluster_label,n_locations,avg_weight,pct_no_washroom,pct_no_product,pct_desert,n_desert,dist_to_product_km,n_transit,pct_within_1500m,lim_at_pct,avg_immigrant_pop,avg_pop_1054,socio_weight,risk_score,centroid_lat,centroid_lon
Lawrence Park South,2,Moderate Service,13.0,2.8461538461538463,0.6923076923076923,0.9230769230769231,0.9230769230769231,12.0,0.6196160104221337,74,0.8461538461538461,7.25,15035.0,13942.5,0.3037050422958879,0.49979718188486344,43.720153076923076,-79.40476923076925
Mount Pleasant East,2,Moderate Service,11.0,2.8181818181818183,0.8181818181818182,0.9090909090909091,0.9090909090909091,10.0,0.3747930591804702,74,1.0,9.3,16565.0,15342.5,0.3650275193907564,0.4942331296929856,43.705319090909086,-79.3851090909091
Thorncliffe Park,3,Well Served,6.0,2.6666666666666665,0.3333333333333333,0.8333333333333334,0.8333333333333334,5.0,0.3808709263004594,138,0.8333333333333334,34.85,20618.0,19470.0,0.8609898168437292,0.6016919563556876,43.70495333333334,-79.34530000000001
Bendale-Glen Andrew,3,Well Served,11.0,2.8181818181818183,0.5454545454545454,0.9090909090909091,0.9090909090909091,10.0,0.6087767844533107,168,0.8181818181818182,20.2,18546.5,12309.5,0.5434093934463531,0.5835038699670612,43.76730727272728,-79.25910909090909
Kensington-Chinatown,3,Well Served,15.0,2.7333333333333334,0.4666666666666667,0.8666666666666667,0.8666666666666667,13.0,0.4260957591022133,76,1.0,28.1,17790.0,19572.5,0.7192447728109612,0.582117794261223,43.65414199999999,-79.39847333333336
Mount Dennis,3,Well Served,7.0,2.7142857142857144,0.5714285714285714,0.8571428571428571,0.8571428571428571,6.0,0.8981318294458563,110,0.7142857142857143,20.1,13160.0,12805.0,0.4851543544159459,0.5234985187776087,43.686890000000005,-79.49638571428572
Greenwood-Coxwell,3,Well Served,11.0,2.8181818181818183,0.5454545454545454,0.9090909090909091,0.9090909090909091,10.0,0.2515636719036118,65,1.0,15.85,14248.0,13710.0,0.4343570632356194,0.5231894474992813,43.67268090909091,-79.32425454545455
Humber Summit,3,Well Served,11.0,2.8181818181818183,0.7272727272727273,0.9090909090909091,0.9090909090909091,10.0,0.39896963641368066,194,0.9090909090909091,15.95,12298.0,11147.5,0.39489639364717855,0.5230410699003356,43.75609818181818,-79.56956363636364
Milliken,3,Well Served,7.0,2.7142857142857144,0.5714285714285714,0.8571428571428571,0.8571428571428571,6.0,0.10925571428726952,257,1.0,18.35,25020.0,21210.0,0.6524408841045997,0.5216309481034543,43.82484142857144,-79.27857142857144
Wychwood,3,Well Served,10.0,2.8,0.8,0.9,0.9,9.0,0.3768838398242573,84,1.0,13.95,13023.0,12347.5,0.3791959630079438,0.502550643822105,43.675379,-79.4251
Fenside-Parkwoods,3,Well Served,7.0,2.7142857142857144,0.8571428571428571,0.8571428571428571,0.8571428571428571,6.0,0.2002588269089609,86,1.0,16.9,20819.0,13933.0,0.5268799107933141,0.5004191657593858,43.761205714285715,-79.32644285714285
Ionview,3,Well Served,7.0,2.7142857142857144,0.7142857142857143,0.8571428571428571,0.8571428571428571,6.0,0.4891309409759915,54,1.0,18.55,13488.0,12707.5,0.4626440967428088,0.49657442988742395,43.73635857142857,-79.27188571428572
Pleasant View,3,Well Served,9.0,2.7777777777777777,0.6666666666666666,0.8888888888888888,0.8888888888888888,8.0,0.19431263540521232,75,0.8888888888888888,13.8,15513.0,14025.0,0.41723281858250894,0.4917309084250944,43.78585999999999,-79.33545555555557
Weston-Pelham Park,3,Well Served,8.0,2.75,0.875,0.875,0.875,7.0,0.04066487689012121,44,1.0,16.75,10885.0,10780.0,0.3894427683540468,0.4731877517667124,43.674147500000004,-79.4602625
Danforth-East York,3,Well Served,8.0,2.75,0.625,0.875,0.875,7.0,0.18042307580396014,96,1.0,11.45,17075.0,15597.5,0.40796066096471517,0.46762896124175196,43.69091875,-79.3307375
Yonge-Eglinton,3,Well Served,9.0,2.7777777777777777,0.5555555555555556,0.8888888888888888,0.8888888888888888,8.0,0.2776334145963107,100,1.0,11.25,12105.0,12217.5,0.323600885438449,0.4659176118846114,43.70650333333333,-79.4016
Keelesdale-Eglinton West,3,Well Served,7.0,2.7142857142857144,0.7142857142857143,0.8571428571428571,0.8571428571428571,6.0,0.21356245525254217,82,1.0,15.4,11215.0,10667.5,0.37012624646547365,0.45529149618635384,43.686612857142855,-79.4742
Kingsway South,3,Well Served,11.0,2.8181818181818183,0.5454545454545454,0.9090909090909091,0.9090909090909091,10.0,0.5135785902091888,50,0.8181818181818182,4.4,9010.0,7442.5,0.14056383985935014,0.439937082575094,43.65198545454545,-79.51520909090908
Oakwood Village,3,Well Served,10.0,2.6,0.7,0.8,0.8,8.0,0.3480551690015383,80,1.0,15.3,20833.0,19442.5,0.5421733991874174,0.4393125189293131,43.689077,-79.44017
Palmerston-Little Italy,3,Well Served,6.0,2.6666666666666665,0.5,0.8333333333333334,0.8333333333333334,5.0,0.6462149569791549,56,1.0,12.35,13440.0,14242.5,0.37183719860733455,0.4387641776780655,43.66037166666666,-79.41766666666668
Guildwood,3,Well Served,10.0,2.8,0.8,0.9,0.9,9.0,0.2808668732701702,59,0.9,6.75,9665.0,7697.5,0.18840527890879644,0.4385035279203733,43.746999,-79.19697000000001
Blake-Jones,3,Well Served,5.0,2.6,0.6,0.8,0.8,4.0,0.658910959398366,28,1.0,19.85,7580.0,7330.0,0.3773946531598773,0.43336931962579495,43.677355999999996,-79.3388
Rexdale-Kipling,3,Well Served,5.0,2.6,0.6,0.8,0.8,4.0,0.8763523038966472,74,1.0,16.05,10368.0,9512.5,0.36263081863433744,0.4283729491816407,43.721032,-79.56718
North Riverdale,3,Well Served,6.0,2.6666666666666665,0.5,0.8333333333333334,0.8333333333333334,5.0,0.6362344464896875,93,1.0,9.6,11485.0,10640.0,0.2777058813989523,0.41296363906837213,43.67102333333333,-79.35095
Corso Italia-Davenport,3,Well Served,5.0,2.6,0.2,0.8,0.8,4.0,0.5494679391000897,73,1.0,11.1,13653.0,13192.5,0.34580590788520404,0.39376569796028205,43.675799999999995,-79.4472
Highland Creek,3,Well Served,6.0,2.6666666666666665,0.8333333333333334,0.8333333333333334,0.8333333333333334,5.0,0.18483564699453897,119,0.6666666666666666,8.45,12550.0,11147.5,0.27456647571465054,0.3895560373185932,43.791583333333335,-79.1758
Runnymede-Bloor West Village,3,Well Served,5.0,2.6,0.8,0.8,0.8,4.0,1.2270017721844906,82,1.0,6.0,10095.0,9447.5,0.19405962590290948,0.3767484375113674,43.657472000000006,-79.48388
Dufferin Grove,3,Well Served,4.0,2.5,0.25,0.75,0.75,3.0,0.7282788584404245,55,1.0,14.85,11460.0,12045.0,0.3741926789908536,0.3680633999161118,43.656715000000005,-79.43972500000001
Bendale South,3,Well Served,2.0,2.0,0.5,0.5,0.5,1.0,0.9434642507938031,55,0.5,16.55,10708.5,7150.5,0.3569024036112042,0.13587675010572667,43.749044999999995,-79.25225
