neighbourhood_name,cluster,cluster_label,n_locations,avg_weight,pct_no_washroom,pct_no_product,pct_desert,n_desert,dist_to_product_km,n_transit,pct_within_1500m,lim_at_pct,avg_immigrant_pop,avg_pop_1054,socio_weight,risk_score,centroid_lat,centroid_lon
Bayview Woods-Steeles,1,Low Service,11.0,3.0,0.9090909090909091,1.0,1.0,11.0,1.416951196986225,56,0.45454545454545453,15.15,12375.0,10097.5,0.37473085424026487,0.6537049709226365,43.798446363636366,-79.3816909090909
Thistletown-Beaumond Heights,1,Low Service,8.0,3.0,0.875,1.0,1.0,8.0,1.5637512867301169,81,0.25,14.8,9988.0,9247.5,0.33585704439580544,0.6489426181680827,43.73714125,-79.5644
Parkwoods-O'Connor Hills,1,Low Service,11.0,3.0,0.9090909090909091,1.0,1.0,11.0,1.0001539832200328,80,0.5454545454545454,15.65,13783.5,8969.5,0.3902404068784733,0.6439374973237677,43.75149181818182,-79.32989090909092
Etobicoke West Mall,1,Low Service,5.0,3.0,0.6,1.0,1.0,5.0,1.3211641535869554,37,0.8,14.65,11668.0,11115.0,0.3662486763853746,0.6435729633665409,43.646398,-79.571
Roncesvalles,1,Low Service,9.0,3.0,0.8888888888888888,1.0,1.0,9.0,0.8251070146680193,83,1.0,16.2,14745.0,15077.5,0.45594945259683684,0.6434499364355878,43.64594222222222,-79.44151111111111
Fort York-Liberty Village,1,Low Service,12.0,3.0,0.8333333333333334,1.0,1.0,12.0,0.8973865653787263,74,0.8333333333333334,12.0,19470.0,17736.0,0.45989248468456956,0.6366815507610893,43.63692833333334,-79.40814999999999
Pelmo Park-Humberlea,1,Low Service,13.0,3.0,1.0,1.0,1.0,13.0,1.975079073247382,94,0.6153846153846154,9.55,11000.0,10585.0,0.2710387315655962,0.6363089098794339,43.71652076923077,-79.53056153846153
West Queen West,1,Low Service,6.0,3.0,0.6666666666666666,1.0,1.0,6.0,1.4176324391386876,54,0.8333333333333334,12.3,12290.0,10634.0,0.3310130113318289,0.6346983099890265,43.64204,-79.41331666666666
Cabbagetown-South St. James Town,1,Low Service,8.0,3.0,0.875,1.0,1.0,8.0,0.6710481337517249,42,1.0,17.9,11005.0,10737.5,0.40935094139686223,0.6338830864435423,43.6677675,-79.3691375
Humewood-Cedarvale,1,Low Service,7.0,3.0,0.8571428571428571,1.0,1.0,7.0,1.010131875589669,30,1.0,13.45,14033.0,13772.5,0.3930096104998604,0.6308575226028137,43.69158714285714,-79.43071428571429
