cell_id,lat,lon,probability,color_code
38535,43.63669635205347,-79.34463621526,0.9557121424449763,#920a13
26173,43.65775543878154,-79.43334879857419,0.9424523726958242,#9f0e14
23428,43.66432615772301,-79.45302256292644,0.9414189037726558,#9f0e14
33047,43.65166463591104,-79.383905963816,0.9406465954169303,#a10e15
30469,43.653726162954875,-79.40245175044306,0.9400466819961705,#a10e15
30294,43.65104331663041,-79.40376289951251,0.939214517396758,#a30f15
30122,43.65106062293339,-79.4050024586695,0.9374042385664848,#a50f15
34433,43.66052439875467,-79.3737465834653,0.9372757612841366,#a50f15
32875,43.65168215772618,-79.38514552369023,0.9367485841345697,#a50f15
36502,43.66481190437576,-79.35874721724333,0.9345364359474922,#a60f15
30640,43.65280877349612,-79.40123602127996,0.9344511899710224,#a60f15
33048,43.65256468309812,-79.38388182268427,0.933623050687894,#a60f15
23600,43.664309368089405,-79.45178270228325,0.9331364684789449,#a81016
28073,43.66476818023999,-79.4195230854852,0.9322126664854076,#a81016
37907,43.69076981960477,-79.34811266608197,0.9318092960214318,#a81016
30295,43.65194337267855,-79.40373905544273,0.9306628768622304,#a91016
26353,43.66493897201496,-79.43192164457241,0.9306155948269269,#a91016
29298,43.68354899106862,-79.41034518663417,0.9304985375789876,#a91016
34262,43.661442075373586,-79.37496203751309,0.9299119465330076,#a91016
34440,43.66682468437238,-79.37357645728609,0.9298137341120492,#a91016
40463,43.66889892420911,-79.33010701032968,0.9296632253878525,#aa1016
30468,43.65282610775325,-79.40247561522118,0.9295810717982911,#aa1016
44434,43.68197875485914,-79.30120916407861,0.9295271550027777,#aa1016
34434,43.66142444001646,-79.37372228310386,0.9294787040863262,#aa1016
34097,43.66775998954805,-79.37603191810202,0.9293149029516732,#aa1016
26344,43.65683837032343,-79.43213250987286,0.9292831122845356,#aa1016
29629,43.671813761405524,-79.40817415212702,0.9288769645464926,#aa1016
40988,43.67694467186095,-79.32616219656431,0.9288600198513131,#aa1016
30121,43.65016056619188,-79.40502628313841,0.9284470470517994,#aa1016
34435,43.662324481125175,-79.37369798161639,0.928038029053472,#aa1016
31844,43.65268705748125,-79.39255889472386,0.9273549491802474,#ab1016
35982,43.66126511701603,-79.36256454419583,0.9270201437722833,#ab1016
26172,43.656855370786445,-79.433372205206,0.9268987017066458,#ab1016
38388,43.65921506038723,-79.34525769498383,0.9267565237838735,#ab1016
28437,43.68273502529223,-79.41657003766964,0.9266394286150333,#ab1016
28438,43.68363508192632,-79.41654635869511,0.9266384745133778,#ab1016
38389,43.660115089015164,-79.34523297017206,0.9264793460572972,#ab1016
28609,43.68271783455962,-79.41532981958657,0.9262421916355882,#ab1016
34441,43.66772472456253,-79.373552149041,0.9259626769653689,#ab1016
39085,43.667243384541464,-79.3400757105314,0.9258478264934101,#ab1016
26343,43.65593830270715,-79.43215593392277,0.9255957914350478,#ac1117
39941,43.66355308187399,-79.33397605685653,0.9249053539816444,#ac1117
26345,43.65773843778738,-79.4321090847375,0.9249008719469094,#ac1117
38562,43.660997159586906,-79.34396851706695,0.9245110567552439,#ac1117
38390,43.66101511748963,-79.34520824421463,0.9243125657701765,#ac1117
44612,43.68736033545089,-79.29981648676717,0.9238459613520428,#ac1117
27729,43.6648024461341,-79.42200278857382,0.9224553266772065,#ad1117
34090,43.661459697290894,-79.3762017930475,0.92217897317521,#ad1117
36150,43.65764720342562,-79.36142273590764,0.9221083682418282,#ad1117
28071,43.662968058268405,-79.4195703222333,0.9221041580921867,#ad1117
30123,43.65196067952224,-79.40497863309672,0.9218989408869802,#ad1117
30641,43.65370882815619,-79.40121213800327,0.9218071863254564,#af1117
41333,43.67780833497771,-79.32365704906226,0.9217966997899875,#af1117
32014,43.65086951465104,-79.39136736884527,0.9217610248030523,#af1117
37735,43.69078774221834,-79.34935300890945,0.9214025678432565,#af1117
35980,43.65946504429382,-79.36261347686806,0.9213684574146561,#af1117
28059,43.65216731362941,-79.41985365080838,0.9212229470709292,#af1117
39258,43.66812539338059,-79.33881103075322,0.9210894479694867,#af1117
44784,43.68734187647539,-79.2985762460053,0.921087567591633,#af1117
36327,43.66212959909018,-79.36006055406308,0.9210733777909588,#af1117
32189,43.65355221031886,-79.39005567594711,0.9209916127969939,#af1117
34772,43.65598888573408,-79.37138878497682,0.9208703728553022,#af1117
40636,43.66978081955757,-79.32884215236675,0.9208188102858905,#af1117
41335,43.67960836643419,-79.32360692045019,0.9206079478694258,#af1117
40807,43.668862662240116,-79.3276272516985,0.9205824759346372,#af1117
41514,43.68589026941269,-79.32219120776024,0.9205428052269576,#af1117
32226,43.68685394422725,-79.38916505087276,0.9205428052269576,#af1117
28436,43.68183496850556,-79.41659371554672,0.9204365827264825,#af1117
36503,43.66571193822717,-79.3587226891454,0.920410144651213,#af1117
38218,43.66103306195334,-79.34644797250803,0.920262818963956,#af1117
39257,43.667225368943775,-79.33883585842915,0.9200602962378861,#af1117
26515,43.65592128933687,-79.43091625817765,0.9200062140209542,#af1117
34943,43.655071172845346,-79.37017349406935,0.9196388233244899,#b01217
29950,43.65107791580081,-79.4062420189304,0.9195597737940884,#b01217
34944,43.655971213370634,-79.3701491449639,0.9194410323971915,#b01217
38217,43.66013303291829,-79.34647267996202,0.9189658738562483,#b01217
39768,43.66267112546691,-79.33524070776225,0.9188726841021816,#b01217
41858,43.68585382451152,-79.3197107593458,0.9186663130035249,#b01217
44439,43.68647877700842,-79.30108213754656,0.9180673133385946,#b01217
29296,43.68174888302672,-79.41039272875621,0.9180517210662391,#b01217
34771,43.6550888446567,-79.37141311558265,0.9179845628023335,#b01217
34096,43.66685994825622,-79.37605618932518,0.9178698264135224,#b11218
34270,43.668642404364796,-79.37476774214892,0.9178450093794821,#b11218
27902,43.66568538120072,-79.42073933497747,0.9175969860340445,#b11218
34269,43.66774236377666,-79.3747920330087,0.9175715839881953,#b11218
27898,43.66208513511572,-79.42083373443643,0.9175230641635204,#b11218
27728,43.66390238415404,-79.4220263704755,0.9173318629390721,#b11218
27887,43.65218444580262,-79.42109324274703,0.9173279920541304,#b11218
26354,43.66583903810788,-79.43189820966558,0.917308867879123,#b11218
28074,43.66566824099705,-79.41949946546939,0.9172285149928859,#b11218
30297,43.653743484316784,-79.40369136398866,0.9170613577783223,#b11218
41685,43.684972040249846,-79.32097609304348,0.9168576714029192,#b11218
33049,43.65346473013227,-79.38385768043395,0.916734708629412,#b11218
32185,43.649952010333145,-79.39015186830608,0.916731444202239,#b11218
36326,43.66122956406964,-79.36008505911005,0.9165825083943162,#b11218
33220,43.6525471472997,-79.38264224543178,0.9160688339778811,#b11218
34442,43.6686247645996,-79.37352783966945,0.9159547562739812,#b21218
41686,43.68587205368716,-79.3209509829711,0.9159504549467238,#b21218
29470,43.6835317325444,-79.40910495552399,0.9157636887274039,#b21218
30642,43.65460888266352,-79.40118825361992,0.9155405477530053,#b21218
32876,43.65258220546069,-79.38512140105533,0.9154579988618329,#b21218
37020,43.666558491368455,-79.35497861108499,0.9154485332928468,#b21218
42006,43.664235244275105,-79.31907374633819,0.9150985245440202,#b21218
30296,43.652843428574016,-79.40371521026813,0.9150612618929063,#b21218
37022,43.66835855496319,-79.35492943814282,0.9145933102774628,#b21218
28069,43.66116793568681,-79.41961755460376,0.9145316021826204,#b21218
41834,43.66425347322867,-79.32031352440816,0.9144717257042031,#b21218
34268,43.66684232303547,-79.37481632274284,0.9142955280341897,#b21218
35116,43.65595352757002,-79.36890950607922,0.9139362236686239,#b31218
41252,43.759727378928034,-79.32261323471874,0.913780963760168,#b31218
38914,43.66816141225936,-79.34129077312743,0.9131583763570704,#b31218
36322,43.6576294224548,-79.36018306794388,0.9128392041534249,#b31218
39259,43.669025417663846,-79.33878620192677,0.9127068992111151,#b31218
44611,43.686460332059475,-79.29984191413303,0.912694178582278,#b31218
37564,43.69170567743653,-79.35056868059661,0.9124352389986506,#b31218
33219,43.65164710066045,-79.38266640506032,0.9123459600738711,#b31218
41251,43.75882737639605,-79.32263838464861,0.9121082752262152,#b51318
29089,43.65026411862631,-79.41246355025419,0.9118415300002723,#b51318
36152,43.659447275650585,-79.36137377076561,0.9115521844911307,#b51318
39940,43.66265305892453,-79.33400095280301,0.9113862218203843,#b51318
22388,43.657225980890345,-79.46064577541304,0.9112060154968324,#b51318
40292,43.66981705577384,-79.3313219503345,0.9111154480768614,#b51318
26182,43.66585604388298,-79.43313809007246,0.9110397089514238,#b51318
38561,43.66009713167345,-79.34399326152781,0.9109613983957122,#b51318
29630,43.67271381610326,-79.40815035669814,0.9106643697052952,#b51318
41835,43.66515348963431,-79.32028842257945,0.9104855144295092,#b51318
27901,43.6647853199082,-79.42076293648266,0.9104515854202617,#b51318
28608,43.681817778310005,-79.4153535159904,0.9103812372706482,#b51318
28061,43.6539674392608,-79.41980644031885,0.9101722389433183,#b51318
27900,43.66388525846318,-79.42078653689418,0.9099449035905443,#b61319
36330,43.66482970323216,-79.35998703210872,0.9098459254986193,#b61319
36154,43.66124734726256,-79.36132480108563,0.9097517247249683,#b61319
41319,43.665208097560736,-79.32400781928445,0.9096053701790666,#b61319
36155,43.66214738283866,-79.36130031454375,0.9093085251321543,#b61319
27897,43.66118507321327,-79.42085733156729,0.909197272788876,#b61319
30470,43.65462621800378,-79.40242788455915,0.9088053068971931,#b61319
35624,43.648700078754395,-79.36538594934761,0.9086767406298162,#b61319
40635,43.66888079994579,-79.32886713043536,0.9086524021250093,#b61319
36496,43.659411698048345,-79.35889436196503,0.9086246426930461,#b61319
41320,43.66610811551853,-79.32398277181474,0.9083618433116795,#b61319
41334,43.67870835078283,-79.32363198533703,0.9083567905849848,#b61319
41491,43.66518990835908,-79.322768019221,0.908204704641004,#b61319
32188,43.65265216055173,-79.39007972570822,0.907807449722711,#b71319
34261,43.66054203356086,-79.3749863193696,0.9075782854189505,#b71319
44967,43.697223418491916,-79.29705581989832,0.9075253826321372,#b71319
44592,43.669360238344765,-79.30032481024978,0.9075226435253876,#b71319
27726,43.66210225973655,-79.42207353100066,0.9068197474209484,#b71319
36495,43.65851166312394,-79.35891888210824,0.9067043827329894,#b71319
41665,43.666971739204925,-79.32147805018751,0.9066397920849889,#b71319
42709,43.67766238121314,-79.31373660768897,0.9065700842465394,#b71319
35978,43.657664970958656,-79.36266240500576,0.9063485876446384,#b71319
36151,43.65854723961473,-79.36139825390384,0.9063036767990829,#b71319
34089,43.66055965492764,-79.376226056399,0.9061600992876019,#b81419
42695,43.66506220761551,-79.31408945134653,0.9059618488070074,#b81419
35798,43.650482421147316,-79.3640975944695,0.905901422655055,#b81419
27888,43.65308450922979,-79.42106965654779,0.9055679113348734,#b81419
37563,43.690805651378895,-79.3505933528813,0.9054786944175137,#b81419
35626,43.65050015737134,-79.36533711784976,0.9054306462335123,#b81419
40990,43.6787447058963,-79.32611214435191,0.9054103057464102,#b81419
34942,43.65417113216692,-79.37019784204661,0.9053186385157649,#b81419
22051,43.66355991129897,-79.46296445654693,0.9051087111460981,#b81419
36504,43.66661197192527,-79.35869815991082,0.905057623501925,#b81419
35625,43.64960011813947,-79.36536153416431,0.9050080771367448,#b81419
23429,43.665226232942686,-79.45299944379003,0.9049950126609267,#b81419
26001,43.65777242633644,-79.43458851349546,0.9048896080711214,#b81419
37737,43.692587793061236,-79.3493036261298,0.9048730425551548,#b81419
23944,43.6642757484942,-79.44930298421436,0.9046071521204863,#b81419
28745,43.650298528622,-79.41494264809153,0.9044866755449086,#b81419
27899,43.66298519686569,-79.42081013621208,0.9041881365222249,#b91419
39456,43.691507930583725,-79.33692475613205,0.9040662328405282,#b91419
27889,43.65398457250451,-79.42104606925565,0.9039403127818588,#b91419
44783,43.68644187366058,-79.29860169189796,0.9038809420245323,#b91419
36848,43.666576331662576,-79.35621845955546,0.9038326042885535,#b91419
27556,43.663919496403004,-79.42326620514956,0.9036153631204005,#b91419
28072,43.66386811933044,-79.41954670440649,0.903589138963699,#b91419
44440,43.68737878097603,-79.30105672870758,0.9033068094533673,#b91419
32201,43.664352795600195,-79.3897669918762,0.9031984197677757,#b91419
40111,43.661734956404366,-79.3327861122948,0.9031037151642863,#b91419
32186,43.650852060558876,-79.39012782188765,0.9028497712468367,#b91419
28070,43.66206799705385,-79.41959393896569,0.9026164338067582,#b91419
29458,43.67273108160448,-79.40939036443555,0.9025864355461526,#b91419
41493,43.66698994298441,-79.32271788610512,0.9025554724055007,#b91419
40989,43.677844688955496,-79.32613717103803,0.9024179069129142,#b91419
29088,43.64936405849697,-79.41248726264634,0.9022522661708209,#bb141a
41492,43.66608992574863,-79.32274295324383,0.9021586884071863,#bb141a
26000,43.65687235781063,-79.43461190162371,0.901934574533837,#bb141a
27557,43.664819558917685,-79.42324264175777,0.9017996084344688,#bb141a
37021,43.66745852324249,-79.35495402518356,0.9017968284014131,#bb141a
40304,43.680617292713535,-79.3310225676098,0.9017537868292154,#bb141a
29628,43.67091370655513,-79.40819794645314,0.9014618717951547,#bb141a
26516,43.6568213564216,-79.43089281562513,0.901155915416856,#bb141a
41662,43.66427168874222,-79.3215533036413,0.9011012129666125,#bb141a
29471,43.68443178579726,-79.40908116428213,0.9010113036369997,#bb141a
32016,43.652669615734524,-79.39131930965932,0.9009571818177362,#bb141a
33394,43.65432968978852,-79.38135430968724,0.9009400275493769,#bb141a
40464,43.669798944387104,-79.33008205077229,0.9007202067050949,#bb141a
31845,43.65358710833864,-79.39253488195885,0.9004347779559363,#bb141a
34263,43.662342117033255,-79.37493775453139,0.9003683121116256,#bc141a
28264,43.68185214525095,-79.41783391620045,0.9003370971227613,#bc141a
26517,43.657721423354,-79.43086937198633,0.900195598020546,#bc141a
39086,43.668143409541095,-79.34005090136549,0.9001548234149703,#bc141a
28916,43.64938126967478,-79.41372679252036,0.8997611957036921,#bc141a
36325,43.66032952889583,-79.36010956302155,0.8994735065131272,#bc141a
36494,43.657611628046254,-79.35894340111531,0.8992534513855196,#bc141a
41664,43.66607172253782,-79.32150313583449,0.8989595424063762,#bc141a
58478,43.78123556438277,-79.19774155104881,0.8984644903897148,#bc141a
44764,43.669341790898386,-79.29908493986127,0.8979829377806587,#bd151a
32399,43.6877364982694,-79.38790065383047,0.8978130879204917,#bd151a
36323,43.65852945808841,-79.3601585674384,0.8977823527680985,#bd151a
27570,43.67652035773523,-79.42293621827402,0.8976956700049092,#bd151a
26171,43.65595530263904,-79.43339561075327,0.8976716029661407,#bd151a
27569,43.67562029720247,-79.42295979586602,0.8975829351502925,#bd151a
39939,43.66175303582146,-79.33402584759591,0.8974818630017714,#bd151a
36324,43.65942949356876,-79.36013406579764,0.8973025004626146,#bd151a
30472,43.65642632764347,-79.40238014947371,0.8969237463533548,#bd151a
28917,43.650281330341855,-79.41370309862393,0.8967412453045513,#bd151a
35981,43.660365080731545,-79.36258901109879,0.896641323140985,#bd151a
40113,43.66353500132724,-79.33273628454546,0.8965028497480616,#bd151a
38514,43.772617458676685,-79.34213332574909,0.8962323318310286,#be151a
35797,43.64958238246953,-79.36412202927819,0.8961005638140846,#be151a
32227,43.68775398818471,-79.38914095872272,0.8958763752629705,#be151a
33924,43.66687756003459,-79.37729605703221,0.8957064446616764,#be151a
18253,43.65132221612422,-79.49055720763502,0.8956890840596067,#be151a
26183,43.666756110354875,-79.43311467259169,0.8953841715152454,#be151a
28912,43.64578102548089,-79.41382155712888,0.8951413089040042,#be151a
37193,43.667440668948814,-79.35371415934245,0.8950932765238703,#be151a
16741,43.68387243834551,-79.50090739700781,0.8950598131155943,#be151a
40475,43.67969915620223,-79.32980741928694,0.8948855150069225,#be151a
28744,43.649398467417626,-79.4149663234922,0.8946414405507823,#be151a
28060,43.65306737652135,-79.41983004611049,0.894331685088903,#bf151b
40476,43.68059917453605,-79.32978244584534,0.8941861679250177,#bf151b
36850,43.66837639637202,-79.35616932363412,0.8940217317287733,#bf151b
24287,43.66334200238365,-79.44684648105792,0.8936961756857987,#bf151b
36667,43.65849385472134,-79.35767919791422,0.8934102436302465,#bf151b
36849,43.66747636409396,-79.35619389216403,0.8932329775249991,#bf151b
21351,43.65282551170507,-79.46819853837539,0.8931708300793162,#bf151b
