Name,Type,Address,lat,lon
ANNETTE COMMUNITY RECREATION CENTRE,Community Centre,333 ANNETTE ST,43.66121,-79.4741
MONTGOMERY'S INN,Community Centre,4709 DUNDAS ST W,43.65168,-79.5257
EAST YORK SPORTS CENTRE,Community Centre,901 Cosburn Ave,43.69663,-79.3136
LEASIDE CURLING CLUB,Community Centre,1075 MILLWOOD RD,43.70098,-79.3609
WARDEN HILLTOP COMMUNITY CENTRE,Community Centre,25 MENDELSSOHN ST,43.71491,-79.2805
STEPHEN LEACOCK SENIORS' COMMUNITY CENTRE,Community Centre,2520 BIRCHMOUNT RD,43.78687,-79.3025
NORTH TORONTO MEMORIAL COMMUNITY CENTRE,Community Centre,200 EGLINTON AVE W,43.70611,-79.4046
ADAM BECK COMMUNITY CENTRE,Community Centre,79 LAWLOR AVE,43.68286,-79.2888
BEACHES RECREATION CENTRE,Community Centre,6 WILLIAMSON RD,43.67394,-79.2988
PARKDALE COMMUNITY RECREATION CENTRE,Community Centre,75 LANSDOWNE AVE,43.6434,-79.4375
DAVID APPLETON COMMUNITY CENTRE,Community Centre,33 PRITCHARD AVE,43.67023,-79.4889
MATTY ECKLER RECREATION CENTRE,Community Centre,953 GERRARD ST E,43.66806,-79.3394
CARMINE STEFANO COMMUNITY CENTRE,Community Centre,3100 WESTON RD,43.73371,-79.5396
YORK RECREATION CENTRE,Community Centre,115 BLACK CREEK DR,43.68614,-79.4813
REGENT PARK COMMUNITY CENTRE,Community Centre,402 Shuter St,43.658,-79.3617
STRIDES TORONTO,Community Centre,"100 CONSILIUM PL, SUITE 102",43.77705,-79.2523
NATIVE YOUTH RESOURCE CENTRE,Community Centre,655 BLOOR ST W,43.66404,-79.4154
THISTLETOWN MULTI-SERVICE CENTRE,Community Centre,925 ALBION RD,43.73548,-79.5626
LAMP COMMUNITY HEALTH CENTRE,Community Centre,185 FIFTH ST,43.60357,-79.5034
RATHBURN AREA YOUTH (RAY),Community Centre,500 THE EAST MALL,43.64963,-79.5618
HUMBER COMMUNITY POOL,Community Centre,205 HUMBER COLLEGE BLVD,43.72917,-79.6068
S.H. ARMSTRONG COMMUNITY RECREATION CENTRE,Community Centre,56 WOODFIELD RD,43.66596,-79.3228
BEDFORD PARK COMMUNITY CENTRE,Community Centre,81 RANLEIGH AVE,43.72786,-79.4
ST. LAWRENCE COMMUNITY RECREATION CENTRE,Community Centre,230 THE ESPLANADE,43.64981,-79.365
BLESSED MARGHERITA OF CITTA DI CASTELLO,Community Centre,108 SPENVALLEY DR,43.74368,-79.5079
