Name,Type,Address,Postal Code,Latitude,Longitude,Washroom,Product,Neighbourhood
CEDAR RIDGE PARK,Park,225 Confederation Dr,M1G 1B2,43.75744,-79.2071,0,0,
WHITE HAVEN PARK,Park,63 Invergordon Ave,M1S 2Z1,43.78767,-79.2511,0,0,
BOB HUNTER PARK,Park,205 Generation Blvd,M1B 2K5,43.80196,-79.1633,0,0,
SCARDEN PARK,Park,1649 Warden Ave,M1T 1K7,43.77469,-79.3057,0,0,
PRINCESS PARK,Park,214 Doris Ave,M2N 3N7,43.7688,-79.4108,0,0,
RAVINA GARDENS,Park,290 Clendenan Ave,M6P 2X3,43.65906,-79.4715,0,0,
YORK MILLS GARDENS,Park,2639 Bayview Ave,M2L 1B6,43.75469,-79.3852,0,0,
MAXOME PARK,Park,67 Maxome Ave,M2M 3K1,43.78762,-79.4002,0,0,
FANFARE PARK,Park,40 Fanfare Ave,M1C 2N2,43.79106,-79.1388,0,0,
ROUGE NEIGHBOURHOOD PARK,Park,196 Dean Park Rd,M1B 5Y1,43.80246,-79.179,0,0,
SENECA HILL PARK,Park,620 Seneca Hill Dr,M2J 2W6,43.79108,-79.3514,0,0,
YORKDALE PARK,Park,256 Ranee Ave,M6A 1N6,43.72361,-79.4483,0,0,
LAVERY TRAIL PARK,Park,40 Lavery Trl,M1C 4T3,43.79693,-79.1624,0,0,
BEVERLY GLEN PARK,Park,75 Beverly Glen Blvd,M1W 1W4,43.79925,-79.3244,0,0,
REID MANOR PARK,Park,65 Reid Manor,M8Y 2H9,43.63829,-79.5059,0,0,
BILL HANCOX PARK,Park,101 Bridgeport Dr,M1C 5E9,43.77779,-79.1401,0,0,
LAMBTON WOODS,Park,1193 Royal York Rd,M9A 4B4,43.66482,-79.5146,0,0,
AMES PARK,Park,272 Banbury Rd,M3B 3C8,43.75158,-79.3655,0,0,
BETHUNE PARK,Park,75 Bethune Blvd,M1M 3C2,43.7433,-79.2105,0,0,
IRMA BURMAN GREENBELT PARK,Park,20 Tallpines Crt,M1B 1H4,43.80311,-79.1579,0,0,
YORKMINSTER PARK,Park,54 A Yorkminster Rd,M2P 1M3,43.75521,-79.4022,0,0,
BURNHAMILL PARK,Park,379 Mill Rd,M9C 4Y9,43.64205,-79.5858,0,0,
BOBBIE ROSENFELD PARK,Park,294 Bremner Blvd,M5V 3L9,43.64164,-79.3872,0,0,
CONFEDERATION PARK,Park,250 Dolly Varden Blvd,M1H 2K8,43.77444,-79.2347,0,0,
LINUS PARK,Park,125 Seneca Hill Dr,M2J 4M4,43.78917,-79.3586,0,0,
REDBANK GREENBELT,Park,99 Culford Rd,M6M 4K4,43.70194,-79.4854,0,0,
HEATHER HEIGHTS WOODS,Park,136 Milford Haven Dr,M1G 3E1,43.77747,-79.217,0,0,
MONCUR PLAYGROUND,Park,10 Gainsborough Rd,M4L 3C2,43.67139,-79.3174,0,0,
MCNICOLL PARK,Park,215 McNicoll Ave,M2H 2C4,43.79932,-79.3532,0,0,
HUMBER BAY PROMENADE PARK,Park,2195 Lake Shore Blvd W,M8V 0E3,43.62265,-79.4811,0,0,
SCARBOROUGH VILLAGE PARK,Park,23 Gatesview Ave,M1J 3G4,43.74735,-79.2131,1,0,
GATEWAY GREENBELT,Park,20 Gateway Blvd,M3C 2Z5,43.71033,-79.332,0,0,
MILNER PARKETTE,Park,675 Church St,M4W 1M2,43.67227,-79.3836,0,0,
DEAN PARK,Park,80 Dean Park Rd,M1B 2X2,43.80195,-79.1728,0,0,
BAYVIEW ARENA PARK,Park,3240 Bayview Ave,M2M 3R7,43.78839,-79.3932,0,0,
HTO PARK,Park,339 Queens Quay W,M5V 1A2,43.63817,-79.3895,0,0,
ANNIVERSARY PARK,Park,410 Parliament St,M5A 2Z7,43.66214,-79.3674,0,0,
MERRILL BRIDGE ROAD PARK,Park,1 Lynn Ave,M4C 3V7,43.68132,-79.315,0,0,
BURNETT PARK,Park,352 Burnett Ave,M2N 1W4,43.7602,-79.4314,0,0,
REDGRAVE PARK,Park,48 Redgrave Dr,M9R 3V1,43.68271,-79.571,0,0,
PELHAM AVENUE PLAYGROUND,Park,20 Pelham Ave,M6N 2Y1,43.66848,-79.4553,0,0,
