_id,BranchCode,PhysicalBranch,BranchName,Address,lat,lon
65,MAS,1,Malvern,"30 Sewells Road, Toronto, ON, M1B 3G5",-79.2162,43.80824
66,MCG,1,Maria A. Shchuka,"1745 Eglinton Avenue W, Toronto, ON, M6E 2H4",-79.4473,43.69614
67,MD,1,McGregor Park,"2219 Lawrence Avenue East, Toronto, ON, M1P 2P5",-79.2809,43.74794
69,MI,1,Mount Dennis,"1123 Weston Road, Toronto, ON, M6N 3S3",-79.4883,43.68659
70,MP,1,Mimico Centennial,"47 Station Road, Toronto, ON, M8V 2R1",-79.4937,43.61486
71,MRV,1,Mount Pleasant,"599 Mt. Pleasant Road, Toronto, ON, M4S 2M5",-79.3882,43.70396
72,MS,1,Maryvale,"Parkway Mall, 85 Ellesmere Road, Unit 22, Toronto, ON, M1R 4B9",-79.3116,43.75719
73,ND,1,Morningside,"4279 Lawrence Avenue East, Toronto, ON, M1E 2S8",-79.1784,43.76988
74,NE,1,Northern District,"40 Orchard View Boulevard, Toronto, ON, M4R 1B9",-79.3998,43.70824
75,NT,1,Northern Elms,"123B Rexdale Boulevard, Unit 5, Toronto, ON, M9W 1P1",-79.5654,43.71089
77,OV,1,New Toronto,"110 Eleventh Street, Toronto, ON, M8V 3G5",-79.5099,43.59905
78,PA,1,Oakwood Village Library and Arts Centre,"341 Oakwood Avenue, Toronto, ON, M6E 2W1",-79.4383,43.68656
79,PE,1,Pape/Danforth,"701 Pape Avenue, Toronto, ON, M4K 3S6",-79.3446,43.67862
80,PK,1,Parkdale,"1303 Queen Street West, Toronto, ON, M6K 1L6",-79.4327,43.64127
81,PL,1,Parliament Street,"269 Gerrard Street East, Toronto, ON, M5A 2G3",-79.368,43.66183
82,PM,1,Palmerston,"560 Palmerston Avenue, Toronto, ON, M6G 2P7",-79.4141,43.66511
84,PU,1,Port Union,"5450 Lawrence Avenue East, Toronto, ON, M1C 3B2",-79.1402,43.7795
85,PV,1,Pleasant View,"575 Van Horne Avenue, Toronto, ON, M2J 4S8",-79.3355,43.78761
86,QS,1,Queen/Saulter,"765 Queen Street East, Toronto, ON, M4M 1H3",-79.3476,43.65928
87,RD,1,Riverdale,"370 Broadview Avenue, Toronto, ON, M4K 2M8",-79.3531,43.66571
88,RI,1,Richview,"1806 Islington Avenue, Toronto, ON, M9P 3N3",-79.5411,43.68344
89,RN,1,Runnymede,"2178 Bloor Street West, Toronto, ON, M6S 1M8",-79.4739,43.65188
90,RX,1,Rexdale,"2243 Kipling Avenue, Toronto, ON, M9W 4L5",-79.5732,43.72614
91,SA,1,Sanderson,"327 Bathurst Street, Toronto, ON, M5T 1J1",-79.4055,43.65214
93,SC,1,Sunnybrook Hospital,"2075 Bayview Avenue, Aging and Veterans Care, L Wing, Toronto, ON, M4N 3M5",-79.3748,43.72317
94,SI,1,Scarborough Civic Centre,"156 Borough Drive, Toronto, ON, M1P 4N7",-79.257,43.77237
95,SJ,1,St. Clair/Silverthorn,"1748 St. Clair Avenue West, Toronto, ON, M6N 1J3",-79.4606,43.67429
96,SL,1,St. James Town,"495 Sherbourne Street, Toronto, ON, M4X 1K7",-79.3744,43.66749
97,SP,1,St. Lawrence,"171 Front Street East, Toronto, ON, M5A 4H3",-79.3683,43.65012
98,ST,1,Spadina Road,"10 Spadina Road, Toronto, ON, M5R 2S7",-79.4046,43.66767
99,SW,1,Steeles,"Bamburgh Gardens Shopping Plaza, C107-375 Bamburgh Circle, Toronto, ON, M1W 3Y1",-79.3224,43.81555
100,SWS,1,Swansea Memorial,"95 Lavinia Avenue, Toronto, ON, M6S 3H9",-79.4779,43.64758
101,TA,1,S. Walter Stewart,"170 Memorial Park Avenue, Toronto, ON, M4J 2K5",-79.3297,43.69217
102,TH,1,Taylor Memorial,"1440 Kingston Road, Toronto, ON, M1N 1R3",-79.2713,43.68789
103,TOD,1,Thorncliffe,"48 Thorncliffe Park Drive, Toronto, ON, M4H 1J7",-79.3425,43.70297
104,TRL,1,Todmorden Room,"1081 1/2 Pape Ave (at Torrens), Toronto, ON, M4K 3W6",-79.3494,43.69163
106,VV,1,Toronto Reference Library,"789 Yonge Street, Toronto, ON, M4W 2G8",-79.3867,43.67195
107,WE,1,Victoria Village,"184 Sloane Avenue, Toronto, ON, M4A 2C4",-79.3129,43.73605
108,WP,1,Weston,"2 King Street, Toronto, ON, M9N 1K9",-79.5207,43.70171
109,WS,1,Woodview Park,"16 Bradstock Road, Toronto, ON, M9M 1M8",-79.5384,43.73977
110,WY,1,Woodside Square,"Woodside Square Mall, 1571 Sandhurst Circle, Toronto, ON, M1V 1V2",-79.2703,43.8088
111,YO,1,Wychwood,"1431 Bathurst Street, Toronto, ON, M5R 3J2",-79.4176,43.68222
112,YW,1,Yorkville,"22 Yorkville Avenue, Toronto, ON, M4W 1L4",-79.3886,43.67192
,,,York Woods,"1785 Finch Avenue West, Toronto, ON, M3N 1M6",-79.5073,43.75892
