Name,Type,Address,Postal Code,Latitude,Longitude,Washroom,Product,Neighbourhood,neighbourhood_code,neighbourhood_name
Bathurst St at Sheppard Ave West,3,,,43.75564,-79.4387,,0,,34,Bathurst Manor
Bathurst St at Sheppard Ave West,3,,,43.75521,-79.4382,,0,,38,Lansing-Westgate
Bathurst St at Southbourne Ave,3,,,43.73838,-79.4341,,0,,38,Lansing-Westgate
Bathurst St at St Clair Ave West,3,,,43.68328,-79.4185,,0,,94,Wychwood
Bathurst St at Stafford Rd,3,,,43.7703,-79.442,,0,,37,Willowdale West
Bathurst St at Strathearn Rd,3,,,43.69204,-79.422,,0,,106,Humewood-Cedarvale
Bathurst St at Tichester Rd,3,,,43.6853,-79.4191,,0,,101,Forest Hill South
Bathurst St at Tichester Rd South Side,3,,,43.68509,-79.4192,,0,,106,Humewood-Cedarvale
Bathurst St at Timberlane Dr,3,,,43.74881,-79.4367,,0,,38,Lansing-Westgate
Bathurst St at Vesta Dr,3,,,43.70315,-79.4257,,0,,102,Forest Hill North
Bathurst St at Viewmount Ave South Side,3,,,43.71011,-79.4277,,0,,32,Englemount-Lawrence
Bathurst St at Warwick Ave,3,,,43.69535,-79.4234,,0,,106,Humewood-Cedarvale
Bathurst St at Wells St,3,,,43.67,-79.413,,0,,95,Annex
Bathurst St at Wilson Ave,3,,,43.73758,-79.4342,,0,,33,Clanton Park
Bathurst St at Wilson Ave,3,,,43.73719,-79.4338,,0,,38,Lansing-Westgate
Bathurst St at Wilson Ave South Side,3,,,43.73678,-79.434,,0,,33,Clanton Park
Bathurst St at Woburn Ave,3,,,43.72243,-79.4304,,0,,39,Bedford Park-Nortown
Bathurst St at York Downs Dr,3,,,43.74736,-79.4366,,0,,33,Clanton Park
Bathurst St at York Downs Dr,3,,,43.74707,-79.4363,,0,,38,Lansing-Westgate
Bathurst St at Yorkview Dr,3,,,43.77225,-79.4424,,0,,37,Willowdale West
Bathurst St at Yorkview Dr South Side,3,,,43.77231,-79.4427,,0,,35,Westminster-Branson
Bathurst Station at Bus Bay 3,3,,,43.66606,-79.4111,,0,,95,Annex
Bathurst Street at St Clair Avenue West,3,,,43.68275,-79.4181,,0,,96,Casa Loma
Carpenter Rd at Steeles Ave West,3,,,43.79187,-79.4474,,0,,35,Westminster-Branson
Fisherville Rd at Bathurst St West Side,3,,,43.79026,-79.4462,,0,,35,Westminster-Branson
Greenwin Village Rd at Bathurst St,3,,,43.79086,-79.4446,,0,,36,Newtonbrook West
Greenwin Village Rd at Elise Ter (West),3,,,43.79176,-79.4421,,0,,36,Newtonbrook West
Greenwin Village Rd at Regatta Cres,3,,,43.7912,-79.4429,,0,,36,Newtonbrook West
Opposite 4600 Bathurst St,3,,,43.76233,-79.44,,0,,38,Lansing-Westgate
Opposite 4981 Bathurst St,3,,,43.77584,-79.4437,,0,,35,Westminster-Branson
Opposite 5720 Bathurst St,3,,,43.77733,-79.4438,,0,,36,Newtonbrook West
Steeles Ave West at Bathurst St East Side,3,,,43.79256,-79.4446,,0,,36,Newtonbrook West
Village Gate at Steeles Ave West,3,,,43.79256,-79.4407,,0,,36,Newtonbrook West
1801 O'Connor Dr,3,,,43.72033,-79.3042,,0,,43,Victoria Village
Coxwell Ave at Barker Ave North Side,3,,,43.69213,-79.3271,,0,,59,Danforth-East York
Coxwell Ave at Cosburn Ave,3,,,43.694,-79.3278,,0,,59,Danforth-East York
Coxwell Ave at Cosburn Ave,3,,,43.69424,-79.3282,,0,,58,Old East York
Coxwell Ave at Danforth Ave,3,,,43.68353,-79.3238,,0,,66,Danforth
Coxwell Ave at Danforth Ave,3,,,43.68321,-79.3235,,0,,64,Woodbine Corridor
Coxwell Ave at Glebeholme Blvd,3,,,43.68569,-79.3245,,0,,66,Danforth
Coxwell Ave at Glebeholme Blvd,3,,,43.68586,-79.3247,,0,,66,Danforth
Coxwell Ave at Memorial Park Ave South Side,3,,,43.69178,-79.3272,,0,,59,Danforth-East York
Coxwell Ave at Mortimer Ave - Michael Garron Hospital,3,,,43.69039,-79.3264,,0,,59,Danforth-East York
Coxwell Ave at Mortimer Ave - Michael Garron Hospital,3,,,43.69075,-79.3267,,0,,59,Danforth-East York
